source_module,source_path,target_module,target_path,classification,owner_phase,batch_id,status,dependencies,notes
Messages,CodexMonitor/src/features/messages/components/Messages.tsx,ConversationView,frontend/src/features/conversation/components/ConversationView.tsx,adapt_before_migrate,3,P3.1,planned,normalized rich messages and shared renderer,Detach from CodexMonitor shell layout
MessageRows,CodexMonitor/src/features/messages/components/MessageRows.tsx,ConversationBlocks,frontend/src/features/conversation/components/blocks,adapt_before_migrate,5,P5.1,planned,normalized message parts and block renderer,Requires deterministic block ordering
Markdown,CodexMonitor/src/features/messages/components/Markdown.tsx,ConversationMarkdown,frontend/src/features/conversation/components/ConversationMarkdown.tsx,direct_migrate,3,P3.1,planned,conversation-local markdown rendering,Low shell coupling
PlanPanel,CodexMonitor/src/features/plan/components/PlanPanel.tsx,PlanBlock,frontend/src/features/conversation/components/blocks/PlanBlock.tsx,reimplement_with_reference,5,P5.1,planned,normalized plan parts and PlanningTree wrappers,Render from message parts not source reducer slices
useThreadsReducer,CodexMonitor/src/features/threads/hooks/useThreadsReducer.ts,conversation-store,frontend/src/stores/conversation-store.ts,reimplement_with_reference,1,P1.2,in_progress,keyed multi-conversation state and deterministic upserts,Replaces singleton ownership model
useThreadItemEvents,CodexMonitor/src/features/threads/hooks/useThreadItemEvents.ts,conversationEventAdapter,frontend/src/features/conversation/adapters/codexEventAdapter.ts,reimplement_with_reference,5,P5.1,planned,new event schema and stale-stream rejection,Adapter must respect active stream ownership
useThreadTurnEvents,CodexMonitor/src/features/threads/hooks/useThreadTurnEvents.ts,conversation-turn-reducer,frontend/src/features/conversation/reducer/conversationTurnReducer.ts,reimplement_with_reference,5,P5.2,planned,turn lineage and stream ownership,Must key off conversation_id and turn_id
useThreadMessaging,CodexMonitor/src/features/threads/hooks/useThreadMessaging.ts,useConversationCommands,frontend/src/features/conversation/actions/useConversationCommands.ts,adapt_before_migrate,4,P4.1,planned,new gateway command surface,Depends on retry continue regenerate semantics
threadNormalize,CodexMonitor/src/features/threads/utils/threadNormalize.ts,legacyConversationAdapter,frontend/src/features/conversation/adapters/legacyConversationAdapter.ts,adapt_before_migrate,1,P1.2,in_progress,current chat and ask session compatibility,Transitional adapter only
tauri.ts,CodexMonitor/src/services/tauri.ts,conversation gateway client layer,"backend/services/conversation_gateway.py; frontend/src/api/client.ts",reimplement_with_reference,2,P2.2,planned,backend gateway and client commands,Tauri transport cannot be copied directly
app_server.rs,CodexMonitor/src-tauri/src/backend/app_server.rs,codex_session_manager,backend/services/codex_session_manager.py,reimplement_with_reference,2,P2.1,planned,process lifecycle and session ownership,Honor project isolation not native shared sessions
codex_core.rs,CodexMonitor/src-tauri/src/shared/codex_core.rs,conversation runtime contracts,backend/conversation/contracts.py,reimplement_with_reference,1,P1.1,in_progress,runtime conversation semantics,Behavior reference only
chat-store.ts,frontend/src/stores/chat-store.ts,conversation-store,frontend/src/stores/conversation-store.ts,adapt_before_migrate,1,P1.2,in_progress,execution singleton state replacement,Legacy store remains until cutover
ask-store.ts,frontend/src/stores/ask-store.ts,conversation-store,frontend/src/stores/conversation-store.ts,adapt_before_migrate,1,P1.2,in_progress,ask singleton state replacement,Packet sidecar remains outside shared core
